PLACE12NM,POPCNT,DESCNM,CTY12CD,CTY12CDO,CTY12NM,NMD12CD,NMD12CDO,NMD12NM,UA12CD,UA12CDO,UA12NM,MD12CD,MD12CDO,MD12NM,LONB12CD,LONB12CDO,LONB12NM,WD12CD,WD12CDO,HLTH12CD,HLTH12CDO,HLTH12NM,REGD12CD,REGD12CDO,REGD12NM,GOR11CD,GOR11CDO,GOR11NM,NPARK12CD,NPARK12CDO,NPARK12NM,BUA11CD,PCON12CD,PCON12CDO,PCON12NM,EER12CD,EER12CDO,EER12NM,GRIDGB1,GRIDGB1E,GRIDGB1N,GRID1KM,PAR12CD,PAR12CDO
Chiseldon and Lawn,5719,WD,,,,,,,E06000030,00HX,Swindon,,,,,,,E05008955,00HXNZ,E18000010,Q39,South West,E28000202,796,Swindon,E12000009,K,South West,,,,,E14000947,E22,South Swindon,E15000009,9,South West,417640179750,417640,179750,SU1779,,
St Andrews,10484,WD,,,,,,,E06000030,00HX,Swindon,,,,,,,E05008968,00HXPN,E18000010,Q39,South West,E28000202,796,Swindon,E12000009,K,South West,,,,,E14000851,D25,North Swindon,E15000009,9,South West,413010189960,413010,189960,SU1389,,
Seaford East),4680,WD,E10000011,21,East Sussex,E07000063,21UF,Lewes,,,,,,,,,,E05003962,21UFHA,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,,,,,E14000786,C59,Lewes,E15000008,8,South East,549980099614,549980,99614,TV4999,,
Seaford North),5169,WD,E10000011,21,East Sussex,E07000063,21UF,Lewes,,,,,,,,,,E05003963,21UFHB,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,,,,,E14000786,C59,Lewes,E15000008,8,South East,548840100154,548840,100154,TQ4800,,
Seaford South),4242,WD,E10000011,21,East Sussex,E07000063,21UF,Lewes,,,,,,,,,,E05003964,21UFHC,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,,,,,E14000786,C59,Lewes,E15000008,8,South East,549176099047,549176,99047,TV4999,,
Newhaven Denton and Meeching),8205,WD,E10000011,21,East Sussex,E07000063,21UF,Lewes,,,,,,,,,,E05003953,21UFGQ,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000786,C59,Lewes,E15000008,8,South East,545640101380,545640,101380,TQ4501,,
Newhaven Valley),4027,WD,E10000011,21,East Sussex,E07000063,21UF,Lewes,,,,,,,,,,E05003954,21UFGR,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000786,C59,Lewes,E15000008,8,South East,543440101822,543440,101822,TQ4301,,
Peacehaven East),5011,WD,E10000011,21,East Sussex,E07000063,21UF,Lewes,,,,,,,,,,E05003957,21UFGU,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000597,A68,"Brighton, Kemptown",E15000008,8,South East,542804101366,542804,101366,TQ4201,,
Peacehaven North),4715,WD,E10000011,21,East Sussex,E07000063,21UF,Lewes,,,,,,,,,,E05003958,21UFGW,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000597,A68,"Brighton, Kemptown",E15000008,8,South East,541243103225,541243,103225,TQ4103,,
East Saltdean and Telscombe Cliffs),7477,WD,E10000011,21,East Sussex,E07000063,21UF,Lewes,,,,,,,,,,E05003948,21UFGK,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000597,A68,"Brighton, Kemptown",E15000008,8,South East,540000103070,540000,103070,TQ4003,,
Ouse Valley and Ringmer),6422,WD,E10000011,21,East Sussex,E07000063,21UF,Lewes,,,,,,,,,,E05003956,21UFGT,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000786,C59,Lewes,E15000008,8,South East,545410108850,545410,108850,TQ4508,,
Barcombe and Hamsey),2105,WD,E10000011,21,East Sussex,E07000063,21UF,Lewes,,,,,,,,,,E05003945,21UFGG,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000786,C59,Lewes,E15000008,8,South East,539593112277,539593,112277,TQ3912,,
Ditchling and Westmeston),2424,WD,E10000011,21,East Sussex,E07000063,21UF,Lewes,,,,,,,,,,E05003947,21UFGJ,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,,,,,E14000786,C59,Lewes,E15000008,8,South East,533895118888,533895,118888,TQ3318,,
"Plumpton, Streat, East Chiltington and St John (Without))",2276,WD,E10000011,21,East Sussex,E07000063,21UF,Lewes,,,,,,,,,,E05003960,21UFGY,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000786,C59,Lewes,E15000008,8,South East,536005113316,536005,113316,TQ3613,,
